CallStack,Count
google.golang.org/grpc/transport.newHTTP2Server.func2;google.golang.org/grpc/transport.loopyWriter;google.golang.org/grpc/transport.(*http2Server).itemHandler;bufio.(*Writer).Flush;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;internal/poll.ignoringEINTRIO;syscall.Write;syscall.write;syscall.Syscall,3907
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/profile/proto._Profile_GetProfiles_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/profile/proto._Profile_GetProfiles_Handler.func1;github.com/harlow/go-micro-services/services/profile.(*Server).GetProfiles;github.com/bradfitz/gomemcache/memcache.(*Client).Get;github.com/bradfitz/gomemcache/memcache.(*Client).withKeyAddr;github.com/bradfitz/gomemcache/memcache.(*Client).Get.func1;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr;github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1;bufio.(*Writer).Flush;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;internal/poll.ignoringEINTRIO;syscall.Write;syscall.write;syscall.Syscall,3194
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.netpoll;runtime.epollwait,2481
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.stopm;runtime.mPark;runtime.notesleep;runtime.futexsleep;runtime.futex,1519
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.readFrameHeader;io.ReadFull;io.ReadAtLeast;bufio.(*Reader).Read;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;internal/poll.ignoringEINTRIO;syscall.Read;syscall.read;syscall.Syscall,1271
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.readFrameHeader;io.ReadFull;io.ReadAtLeast;bufio.(*Reader).Read;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;internal/poll.ignoringEINTRIO;syscall.Read;syscall.read;syscall.Syscall;runtime.entersyscall;runtime.reentersyscall;runtime.systemstack;runtime.entersyscall_sysmon;runtime.notewakeup;runtime.futexwakeup;runtime.futex,623
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/profile/proto._Profile_GetProfiles_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/profile/proto._Profile_GetProfiles_Handler.func1;github.com/harlow/go-micro-services/services/profile.(*Server).GetProfiles;github.com/bradfitz/gomemcache/memcache.(*Client).Get;github.com/bradfitz/gomemcache/memcache.(*Client).withKeyAddr;github.com/bradfitz/gomemcache/memcache.(*Client).Get.func1;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr;github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1;github.com/bradfitz/gomemcache/memcache.parseGetResponse;bufio.(*Reader).ReadSlice;bufio.(*Reader).fill;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;internal/poll.ignoringEINTRIO;syscall.Read;syscall.read;syscall.Syscall,608
runtime.mcall;runtime.park_m;runtime.schedule;runtime.resetspinning;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,450
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;google.golang.org/grpc/transport.(*http2Server).operateHeaders;google.golang.org/grpc.(*Server).serveStreams.func1;runtime.newproc;runtime.systemstack;runtime.newproc.func1;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,421
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.netpollBreak;runtime.write;runtime.write1,366
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;google.golang.org/grpc.(*Server).sendResponse;google.golang.org/grpc/transport.(*http2Server).Write;google.golang.org/grpc/transport.(*http2Server).WriteHeader;google.golang.org/grpc/transport.(*controlBuffer).put;runtime.selectnbsend;runtime.chansend;runtime.send;runtime.goready;runtime.systemstack;runtime.goready.func1;runtime.ready;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,365
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;google.golang.org/grpc/transport.(*http2Server).handlePing;google.golang.org/grpc/transport.(*controlBuffer).put;runtime.selectnbsend;runtime.chansend;runtime.send;runtime.goready;runtime.systemstack;runtime.goready.func1;runtime.ready;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,361
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.injectglist;runtime.injectglist.func1;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,301
